intralipid,ink,minR1R2,690us,a690
72,0.4,4.17E-06,0.826385184,0.003689807
,,,,
72,0.8,2.36E-06,0.826217628,0.00682175
,,,,
72,1.2,1.57E-06,0.82605014,0.009952423
,,,,
72,1.6,6.93E-07,0.82588272,0.013081828
,,,,
72,2,4.06E-07,0.825715368,0.016209964
,,,,
72,2.4,1.81E-07,0.825548083,0.019336833
,,,,
72,2.8,-1.52E-07,0.825380867,0.022462435
90,0.4,3.83E-06,1.023639806,0.00367913
90,0.8,1.49E-06,1.023434132,0.006782757
90,1.2,5.18E-07,1.023228541,0.009885138
90,1.5,2.23E-07,1.023074401,0.012211106
90,1.6,2.94E-07,1.023023032,0.012986273
90,2,-2.19E-08,1.022817605,0.016086162
90,2.4,-1.10E-07,1.022612262,0.019184806
90,2.8,-1.60E-07,1.022407,0.022282207
90,3,-2.57E-07,1.0223044,0.023830441
117,0.8,8.48E-07,1.312661548,0.006725573
117,1.6,-2.96E-08,1.312141321,0.012846135
117,2.4,-3.09E-07,1.311621507,0.018961848
117,2.8,-2.98E-07,1.311361754,0.022017888
126,1.6,-1.24E-07,1.406802988,0.012800252
144,0.4,1.42E-06,1.594562841,0.003648227
144,0.8,-6.14E-08,1.594250915,0.006669899
144,1.2,-1.59E-07,1.593939112,0.009690389
144,1.6,-5.14E-07,1.593627431,0.012709697
144,2,-1.01E-06,1.593315871,0.015727825
144,2.4,-8.55E-07,1.593004433,0.018744773
144,2.8,-4.27E-07,1.592693117,0.021760542
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
