intensity,ua
62114,0.2654
59827,0.2654
57844,0.2654
55736,0.2654
53660,0.2654
51755,0.2654
49887,0.2654
48131,0.2654
46295,0.2654
44680,0.2654
43007,0.2654
41319,0.2654
39715,0.2654
38314,0.2654
36967,0.2654
35450,0.2654
34143,0.2654
32981,0.2654
31735,0.2654
30638,0.2654
29632,0.2654
28487,0.2654
27379,0.2654
26454,0.2654
25477,0.2654
24609,0.2654
23740,0.2654
22822,0.2654
22083,0.4807
21247,0.4905
20479,0.5008
19755,0.4572
19075,0.4351
18361,0.4492
17791,0.3957
17076,0.4381
16594,0.3612
15949,0.3969
15730,0.2221
14815,0.4207
14316,0.4025
13756,0.4416
13234,0.472
12847,0.4428
12400,0.4556
11982,0.4268
11561,0.444
11115,0.5083
10825,0.4665
10443,0.4611
10178,0.4066
9780,0.4817
9448,0.501
9153,0.5124
8891,0.4762
8503,0.5691
8299,0.4988
8025,0.5476
7765,0.5595
7517,0.5498
7276,0.5866
7054,0.5755
6876,0.5767
6643,0.5667
6415,0.64
6218,0.6125
5942,0.7416
5837,0.673
5589,0.7955
5450,0.7686
5326,0.7487
5153,0.759
4956,0.8547
4828,0.8183
4670,0.9132
4578,0.8548
4433,0.8623
4308,0.9162
4209,0.8745
4072,0.9805
4021,0.8305
3873,1
3768,0.9212
3687,0.9307
3623,0.8828
3534,0.9255
3460,0.9227
3414,0.7851
3288,0.9254
3273,0.8114
3167,0.8832
3120,0.8411
3069,0.7581
2957,0.9017
2940,0.8044
2883,0.7865
2805,0.7958
2825,0.6717
2738,0.728
2696,0.7529
2648,0.6415
2614,0.6685
2555,0.6626
2533,0.6007
2491,0.5804
2474,0.5792
2413,0.5169
2411,0.3694
2364,0.4867
2301,0.5049
2294,0.4926
2308,0.28
2215,0.388
2208,0.441
2175,0.3791
2169,0.2113
2135,0.3015
2113,0.2331
2083,0.2736
2064,0.1927
2046,0.1583
2013,0.1066
2006,0.0988
1932,0.1476
1964,0.0139
1922,0.0533
1924,0
1864,0.1556
